title,manufacturer,report_date,year_folder,page_url,slug,local_path
"Waymo February 12, 2020 (PDF)",Waymo,2020-02-12,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-12-2020-pdf/,waymo-collision-report-february-12-2020-pdf,reports/2020/waymo-collision-report-february-12-2020-pdf.pdf
"Waymo February 14, 2020 (PDF)",Waymo,2020-02-14,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-14-2020-pdf/,waymo-collision-report-february-14-2020-pdf,reports/2020/waymo-collision-report-february-14-2020-pdf.pdf
"Zoox February 21, 2020 (PDF)",Zoox,2020-02-21,2020,https://www.dmv.ca.gov/portal/file/zoox-collision-report-february-21-2020-pdf/,zoox-collision-report-february-21-2020-pdf,reports/2020/zoox-collision-report-february-21-2020-pdf.pdf
"Waymo February 26, 2020 (PDF)",Waymo,2020-02-26,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-february-26-2020-pdf/,waymo-collision-report-february-26-2020-pdf,reports/2020/waymo-collision-report-february-26-2020-pdf.pdf
"Zoox February 26, 2020 (1) (PDF)",Zoox,2020-02-26,2020,https://www.dmv.ca.gov/portal/file/zoox-collision-report-february-26-2020-1-pdf/,zoox-collision-report-february-26-2020-1-pdf,reports/2020/zoox-collision-report-february-26-2020-1-pdf.pdf
"Zoox February 26, 2020 (2) (PDF)",Zoox,2020-02-26,2020,https://www.dmv.ca.gov/portal/file/zoox-collision-report-february-26-2020-2-pdf/,zoox-collision-report-february-26-2020-2-pdf,reports/2020/zoox-collision-report-february-26-2020-2-pdf.pdf
"Waymo March 10, 2020 (PDF)",Waymo,2020-03-10,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-march-10-2020-pdf/,waymo-collision-report-march-10-2020-pdf,reports/2020/waymo-collision-report-march-10-2020-pdf.pdf
"Pony.ai May 30, 2020 (PDF)",Pony.ai,2020-05-30,2020,https://www.dmv.ca.gov/portal/file/pony-ai-collision-report-may-30-2020-pdf/,pony-ai-collision-report-may-30-2020-pdf,reports/2020/pony-ai-collision-report-may-30-2020-pdf.pdf
"Cruise June 1, 2020 (PDF)",Cruise,2020-06-01,2020,https://www.dmv.ca.gov/portal/file/cruise-collision-report-june-1-2020-pdf/,cruise-collision-report-june-1-2020-pdf,reports/2020/cruise-collision-report-june-1-2020-pdf.pdf
"Waymo June 15, 2020 (PDF)",Waymo,2020-06-15,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-june-15-2020-pdf/,waymo-collision-report-june-15-2020-pdf,reports/2020/waymo-collision-report-june-15-2020-pdf.pdf
"Waymo July 9, 2020 (PDF)",Waymo,2020-07-09,2020,https://www.dmv.ca.gov/portal/file/waymo_070920-pdf/,waymo_070920-pdf,reports/2020/waymo_070920-pdf.pdf
"Zoox July 14, 2020 (PDF)",Zoox,2020-07-14,2020,https://www.dmv.ca.gov/portal/file/zoox_071420-pdf,zoox_071420-pdf,reports/2020/zoox_071420-pdf.pdf
"Cruise July 25, 2020 (PDF)",Cruise,2020-07-25,2020,https://www.dmv.ca.gov/portal/file/cruise_072520-pdf,cruise_072520-pdf,reports/2020/cruise_072520-pdf.pdf
"Cruise August 4, 2020 (PDF)",Cruise,2020-08-04,2020,https://www.dmv.ca.gov/portal/file/cruise_080420-pdf/,cruise_080420-pdf,reports/2020/cruise_080420-pdf.pdf
"Zoox August 6, 2020 (PDF)",Zoox,2020-08-06,2020,https://www.dmv.ca.gov/portal/file/zoox_080620-pdf/,zoox_080620-pdf,reports/2020/zoox_080620-pdf.pdf
"Cruise August 9, 2020 (PDF)",Cruise,2020-08-09,2020,https://www.dmv.ca.gov/portal/file/cruise_080920-pdf/,cruise_080920-pdf,reports/2020/cruise_080920-pdf.pdf
"Cruise August 15, 2020 (PDF)",Cruise,2020-08-15,2020,https://www.dmv.ca.gov/portal/file/cruise_081520-pdf,cruise_081520-pdf,reports/2020/cruise_081520-pdf.pdf
"Zoox August 20, 2020 (PDF)",Zoox,2020-08-20,2020,https://www.dmv.ca.gov/portal/file/zoox_082020-pdf,zoox_082020-pdf,reports/2020/zoox_082020-pdf.pdf
"Waymo September 5, 2020 (PDF)",Waymo,2020-09-05,2020,https://www.dmv.ca.gov/portal/file/waymo-collision-report-september-5-2020-pdf,waymo-collision-report-september-5-2020-pdf,reports/2020/waymo-collision-report-september-5-2020-pdf.pdf
"Cruise September 16, 2020 (PDF)",Cruise,2020-09-16,2020,https://www.dmv.ca.gov/portal/file/cruise_091620-pdf,cruise_091620-pdf,reports/2020/cruise_091620-pdf.pdf
"Zoox September 16, 2020 (PDF)",Zoox,2020-09-16,2020,https://www.dmv.ca.gov/portal/file/zoox_091620-pdf,zoox_091620-pdf,reports/2020/zoox_091620-pdf.pdf
"Zoox October 6, 2020 (PDF)",Zoox,2020-10-06,2020,https://www.dmv.ca.gov/portal/file/zoox_1006200-pdf,zoox_1006200-pdf,reports/2020/zoox_1006200-pdf.pdf
"Cruise October 9, 2020 (PDF)",Cruise,2020-10-09,2020,https://www.dmv.ca.gov/portal/file/cruise_100920-pdf,cruise_100920-pdf,reports/2020/cruise_100920-pdf.pdf
"Cruise October 24, 2020 (PDF)",Cruise,2020-10-24,2020,https://www.dmv.ca.gov/portal/file/cruise_102420-pdf,cruise_102420-pdf,reports/2020/cruise_102420-pdf.pdf
"Cruise October 25, 2020 (PDF)",Cruise,2020-10-25,2020,https://www.dmv.ca.gov/portal/file/cruise_102520-pdf,cruise_102520-pdf,reports/2020/cruise_102520-pdf.pdf
"Lyft December 2, 2020 (PDF)",Lyft,2020-12-02,2020,https://www.dmv.ca.gov/portal/file/lyft_120220-pdf/,lyft_120220-pdf,reports/2020/lyft_120220-pdf.pdf
"Waymo December 18, 2020 (PDF)",Waymo,2020-12-18,2020,https://www.dmv.ca.gov/portal/file/waymo_121820-pdf/,waymo_121820-pdf,reports/2020/waymo_121820-pdf.pdf
"Pony.ai December 19, 2020 (PDF)",Pony.ai,2020-12-19,2020,https://www.dmv.ca.gov/portal/file/pony-ai_121920-pdf,pony-ai_121920-pdf,reports/2020/pony-ai_121920-pdf.pdf
"Waymo December 29, 2020 (PDF)",Waymo,2020-12-29,2020,https://www.dmv.ca.gov/portal/file/waymo_122920-pdf/,waymo_122920-pdf,reports/2020/waymo_122920-pdf.pdf
"Cruise January 13, 2021 (PDF)",Cruise,2021-01-13,2021,https://www.dmv.ca.gov/portal/file/cruise_011321-pdf,cruise_011321-pdf,reports/2021/cruise_011321-pdf.pdf
"Waymo January 13, 2021 (PDF)",Waymo,2021-01-13,2021,https://www.dmv.ca.gov/portal/file/waymo_011321-pdf/,waymo_011321-pdf,reports/2021/waymo_011321-pdf.pdf
"Cruise January 21, 2021 (PDF)",Cruise,2021-01-21,2021,https://www.dmv.ca.gov/portal/file/cruise_012121-pdf,cruise_012121-pdf,reports/2021/cruise_012121-pdf.pdf
"Waymo January 22, 2021 (PDF)",Waymo,2021-01-22,2021,https://www.dmv.ca.gov/portal/file/waymo_012221-pdf/,waymo_012221-pdf,reports/2021/waymo_012221-pdf.pdf
"Cruise February 9, 2021 (PDF)",Cruise,2021-02-09,2021,https://www.dmv.ca.gov/portal/file/cruise_020921-pdf,cruise_020921-pdf,reports/2021/cruise_020921-pdf.pdf
"Pony.ai February 11, 2021 (PDF)",Pony.ai,2021-02-11,2021,https://www.dmv.ca.gov/portal/file/pony-ai_021121-pdf,pony-ai_021121-pdf,reports/2021/pony-ai_021121-pdf.pdf
"Zoox February 11, 2021 (PDF)",Zoox,2021-02-11,2021,https://www.dmv.ca.gov/portal/file/zoox_021121-pdf,zoox_021121-pdf,reports/2021/zoox_021121-pdf.pdf
"Waymo February 16, 2021 (PDF)",Waymo,2021-02-16,2021,https://www.dmv.ca.gov/portal/file/waymo_021621-pdf,waymo_021621-pdf,reports/2021/waymo_021621-pdf.pdf
"Waymo February 17, 2021 (PDF)",Waymo,2021-02-17,2021,https://www.dmv.ca.gov/portal/file/waymo_021721-pdf,waymo_021721-pdf,reports/2021/waymo_021721-pdf.pdf
"Cruise February 25, 2021 (PDF)",Cruise,2021-02-25,2021,https://www.dmv.ca.gov/portal/file/cruise_022521-pdf,cruise_022521-pdf,reports/2021/cruise_022521-pdf.pdf
"Waymo February 25, 2021 (1) (PDF)",Waymo,2021-02-25,2021,https://www.dmv.ca.gov/portal/file/waymo_022521_1-pdf,waymo_022521_1-pdf,reports/2021/waymo_022521_1-pdf.pdf
"Waymo February 25, 2021 (2) (PDF)",Waymo,2021-02-25,2021,https://www.dmv.ca.gov/portal/file/waymo_022521_2-pdf,waymo_022521_2-pdf,reports/2021/waymo_022521_2-pdf.pdf
"Waymo March 5, 2021 (PDF)",Waymo,2021-03-05,2021,https://www.dmv.ca.gov/portal/file/waymo_316_030521_redacted-pdf/,waymo_316_030521_redacted-pdf,reports/2021/waymo_316_030521_redacted-pdf.pdf
"Cruise March 9, 2021 (PDF)",Cruise,2021-03-09,2021,https://www.dmv.ca.gov/portal/file/cruise_030921-pdf/,cruise_030921-pdf,reports/2021/cruise_030921-pdf.pdf
"Cruise March 12, 2021 (PDF)",Cruise,2021-03-12,2021,https://www.dmv.ca.gov/portal/file/cruise_031221-pdf/,cruise_031221-pdf,reports/2021/cruise_031221-pdf.pdf
"Zoox March 18, 2021 (PDF)",Zoox,2021-03-18,2021,https://www.dmv.ca.gov/portal/file/zoox_031821-pdf,zoox_031821-pdf,reports/2021/zoox_031821-pdf.pdf
"Waymo March 19, 2021 (PDF)",Waymo,2021-03-19,2021,https://www.dmv.ca.gov/portal/file/waymo_031921-pdf,waymo_031921-pdf,reports/2021/waymo_031921-pdf.pdf
"Waymo March 24, 2021 (PDF)",Waymo,2021-03-24,2021,https://www.dmv.ca.gov/portal/file/waymo_032421-pdf/,waymo_032421-pdf,reports/2021/waymo_032421-pdf.pdf
"Cruise March 27, 2021 (PDF)",Cruise,2021-03-27,2021,https://www.dmv.ca.gov/portal/file/cruise_032721-pdf/,cruise_032721-pdf,reports/2021/cruise_032721-pdf.pdf
"Cruise March 29, 2021 (PDF)",Cruise,2021-03-29,2021,https://www.dmv.ca.gov/portal/file/cruise_032921-pdf/,cruise_032921-pdf,reports/2021/cruise_032921-pdf.pdf
"Cruise March 30, 2021 (PDF)",Cruise,2021-03-30,2021,https://www.dmv.ca.gov/portal/file/cruise_033021-pdf/,cruise_033021-pdf,reports/2021/cruise_033021-pdf.pdf
"Waymo March 30, 2021 (PDF)",Waymo,2021-03-30,2021,https://www.dmv.ca.gov/portal/file/waymo_033021-pdf/,waymo_033021-pdf,reports/2021/waymo_033021-pdf.pdf
"Waymo March 31, 2021 (PDF)",Waymo,2021-03-31,2021,https://www.dmv.ca.gov/portal/file/waymo_033121-pdf/,waymo_033121-pdf,reports/2021/waymo_033121-pdf.pdf
"Waymo April 4, 2021 (PDF)",Waymo,2021-04-04,2021,https://www.dmv.ca.gov/portal/file/waymo_040421-pdf/,waymo_040421-pdf,reports/2021/waymo_040421-pdf.pdf
"Lyft April 14, 2021 (PDF)",Lyft,2021-04-14,2021,https://www.dmv.ca.gov/portal/file/lyft_041421-pdf/,lyft_041421-pdf,reports/2021/lyft_041421-pdf.pdf
"Waymo April 17, 2021 (PDF)",Waymo,2021-04-17,2021,https://www.dmv.ca.gov/portal/file/waymo_041721-pdf/,waymo_041721-pdf,reports/2021/waymo_041721-pdf.pdf
"Waymo April 18, 2021 (PDF)",Waymo,2021-04-18,2021,https://www.dmv.ca.gov/portal/file/waymo_041821-pdf/,waymo_041821-pdf,reports/2021/waymo_041821-pdf.pdf
"Cruise April 21, 2021 (PDF)",Cruise,2021-04-21,2021,https://www.dmv.ca.gov/portal/file/cruise_042121-pdf/,cruise_042121-pdf,reports/2021/cruise_042121-pdf.pdf
"Cruise May 11, 2021 (PDF)",Cruise,2021-05-11,2021,https://www.dmv.ca.gov/portal/file/cruise_05112021-pdf/,cruise_05112021-pdf,reports/2021/cruise_05112021-pdf.pdf
"Zoox May 11, 2021 (PDF)",Zoox,2021-05-11,2021,https://www.dmv.ca.gov/portal/file/zoox_05112021-pdf/,zoox_05112021-pdf,reports/2021/zoox_05112021-pdf.pdf
"Cruise May 17, 2021 (PDF)",Cruise,2021-05-17,2021,https://www.dmv.ca.gov/portal/file/cruise_051721-pdf/,cruise_051721-pdf,reports/2021/cruise_051721-pdf.pdf
"Waymo May 23, 2021 (PDF)",Waymo,2021-05-23,2021,https://www.dmv.ca.gov/portal/file/waymo_ol316_052321_redacted-pdf/,waymo_ol316_052321_redacted-pdf,reports/2021/waymo_ol316_052321_redacted-pdf.pdf
"Cruise May 31, 2021 (PDF)",Cruise,2021-05-31,2021,https://www.dmv.ca.gov/portal/file/cruise_053121-pdf,cruise_053121-pdf,reports/2021/cruise_053121-pdf.pdf
"Waymo June 2, 2021 (1) (PDF)",Waymo,2021-06-02,2021,https://www.dmv.ca.gov/portal/file/waymo_060221-1-pdf,waymo_060221-1-pdf,reports/2021/waymo_060221-1-pdf.pdf
"Waymo June 2, 2021 (2) (PDF)",Waymo,2021-06-02,2021,https://www.dmv.ca.gov/portal/file/waymo_060221-2-pdf,waymo_060221-2-pdf,reports/2021/waymo_060221-2-pdf.pdf
"Waymo June 3, 2021 (PDF)",Waymo,2021-06-03,2021,https://www.dmv.ca.gov/portal/file/waymo_060321-pdf,waymo_060321-pdf,reports/2021/waymo_060321-pdf.pdf
"Waymo June 4, 2021 (PDF)",Waymo,2021-06-04,2021,https://www.dmv.ca.gov/portal/file/waymo_060421-pdf,waymo_060421-pdf,reports/2021/waymo_060421-pdf.pdf
"Waymo June 11, 2021 (PDF)",Waymo,2021-06-11,2021,https://www.dmv.ca.gov/portal/file/waymo_061121-pdf/,waymo_061121-pdf,reports/2021/waymo_061121-pdf.pdf
"Waymo June 16, 2021 (PDF)",Waymo,2021-06-16,2021,https://www.dmv.ca.gov/portal/file/waymo_061621-pdf/,waymo_061621-pdf,reports/2021/waymo_061621-pdf.pdf
"Waymo June 25, 2021 (PDF)",Waymo,2021-06-25,2021,https://www.dmv.ca.gov/portal/file/waymo_062521-pdf/,waymo_062521-pdf,reports/2021/waymo_062521-pdf.pdf
"Waymo June 26, 2021 (PDF)",Waymo,2021-06-26,2021,https://www.dmv.ca.gov/portal/file/waymo_062621-pdf/,waymo_062621-pdf,reports/2021/waymo_062621-pdf.pdf
"WeRide Corp June 29, 2021 (PDF)",WeRide Corp,2021-06-29,2021,https://www.dmv.ca.gov/portal/file/weride_062921-pdf,weride_062921-pdf,reports/2021/weride_062921-pdf.pdf
"Argo AI July 1, 2021 (PDF)",Argo AI,2021-07-01,2021,https://www.dmv.ca.gov/portal/file/argo_070121-pdf,argo_070121-pdf,reports/2021/argo_070121-pdf.pdf
"Cruise July 1, 2021 (PDF)",Cruise,2021-07-01,2021,https://www.dmv.ca.gov/portal/file/cruise_070121-pdf,cruise_070121-pdf,reports/2021/cruise_070121-pdf.pdf
"Argo AI July 8, 2021 (PDF)",Argo AI,2021-07-08,2021,https://www.dmv.ca.gov/portal/file/argo_070821-pdf/,argo_070821-pdf,reports/2021/argo_070821-pdf.pdf
"Waymo July 9, 2021",Waymo,2021-07-09,2021,https://www.dmv.ca.gov/portal/file/waymo_070921/,waymo_070921,reports/2021/waymo_070921.pdf
"Cruise July 10, 2021 (PDF)",Cruise,2021-07-10,2021,https://www.dmv.ca.gov/portal/file/cruise_071021-pdf,cruise_071021-pdf,reports/2021/cruise_071021-pdf.pdf
"Waymo July 12, 2021 (PDF)",Waymo,2021-07-12,2021,https://www.dmv.ca.gov/portal/file/waymo_071221-pdf,waymo_071221-pdf,reports/2021/waymo_071221-pdf.pdf
"Zoox July 13, 2021 (PDF)",Zoox,2021-07-13,2021,https://www.dmv.ca.gov/portal/file/zoox_071321-pdf/,zoox_071321-pdf,reports/2021/zoox_071321-pdf.pdf
"Waymo July 14, 2021 (PDF)",Waymo,2021-07-14,2021,https://www.dmv.ca.gov/portal/file/waymo_071421-pdf,waymo_071421-pdf,reports/2021/waymo_071421-pdf.pdf
"Cruise July 15, 2021 (PDF)",Cruise,2021-07-15,2021,https://www.dmv.ca.gov/portal/file/cruise_071521-pdf,cruise_071521-pdf,reports/2021/cruise_071521-pdf.pdf
"WeRide Corp July 16, 2021 (PDF)",WeRide Corp,2021-07-16,2021,https://www.dmv.ca.gov/portal/file/weride_071621-pdf,weride_071621-pdf,reports/2021/weride_071621-pdf.pdf
"Cruise July 26, 2021 (PDF)",Cruise,2021-07-26,2021,https://www.dmv.ca.gov/portal/file/cruise_072621_redacted-pdf/,cruise_072621_redacted-pdf,reports/2021/cruise_072621_redacted-pdf.pdf
"Waymo August 1, 2021 (PDF)",Waymo,2021-08-01,2021,https://www.dmv.ca.gov/portal/file/waymo_080121-pdf/,waymo_080121-pdf,reports/2021/waymo_080121-pdf.pdf
"Cruise August 2, 2021 (PDF)",Cruise,2021-08-02,2021,https://www.dmv.ca.gov/portal/file/cruise_080221-pdf/,cruise_080221-pdf,reports/2021/cruise_080221-pdf.pdf
"Waymo August 5, 2021 (PDF)",Waymo,2021-08-05,2021,https://www.dmv.ca.gov/portal/file/waymo_080521-pdf,waymo_080521-pdf,reports/2021/waymo_080521-pdf.pdf
"Waymo August 13, 2021 (PDF)",Waymo,2021-08-13,2021,https://www.dmv.ca.gov/portal/file/waymo_081321-pdf/,waymo_081321-pdf,reports/2021/waymo_081321-pdf.pdf
"Waymo August 14, 2021 (PDF)",Waymo,2021-08-14,2021,https://www.dmv.ca.gov/portal/file/waymo_081421-pdf/,waymo_081421-pdf,reports/2021/waymo_081421-pdf.pdf
"Apple August 19, 2021 (PDF)",Apple,2021-08-19,2021,https://www.dmv.ca.gov/portal/file/apple_081921-pdf,apple_081921-pdf,reports/2021/apple_081921-pdf.pdf
"Waymo August 21, 2021 (PDF)",Waymo,2021-08-21,2021,https://www.dmv.ca.gov/portal/file/waymo_082121-pdf/,waymo_082121-pdf,reports/2021/waymo_082121-pdf.pdf
"Apple August 23, 2021 (PDF)",Apple,2021-08-23,2021,https://www.dmv.ca.gov/portal/file/apple_082321-pdf,apple_082321-pdf,reports/2021/apple_082321-pdf.pdf
"Waymo August 27, 2021",Waymo,2021-08-27,2021,https://www.dmv.ca.gov/portal/file/waymo_082721/,waymo_082721,reports/2021/waymo_082721.pdf
"Cruise August 28, 2021",Cruise,2021-08-28,2021,https://www.dmv.ca.gov/portal/file/cruise_082821/,cruise_082821,reports/2021/cruise_082821.pdf
"Cruise August 30, 2021",Cruise,2021-08-30,2021,https://www.dmv.ca.gov/portal/file/cruise_083021/,cruise_083021,reports/2021/cruise_083021.pdf
"Waymo August 31, 2021 (1) (PDF)",Waymo,2021-08-31,2021,https://www.dmv.ca.gov/portal/file/waymo_083121_1-pdf,waymo_083121_1-pdf,reports/2021/waymo_083121_1-pdf.pdf
"Waymo August 31, 2021 (2) (PDF)",Waymo,2021-08-31,2021,https://www.dmv.ca.gov/portal/file/waymo_083121_2-pdf/,waymo_083121_2-pdf,reports/2021/waymo_083121_2-pdf.pdf
"Waymo September 2, 2021 (PDF)",Waymo,2021-09-02,2021,https://www.dmv.ca.gov/portal/file/waymo_090221-pdf/,waymo_090221-pdf,reports/2021/waymo_090221-pdf.pdf
"Zoox September 2, 2021 (PDF)",Zoox,2021-09-02,2021,https://www.dmv.ca.gov/portal/file/zoox_090221-pdf/,zoox_090221-pdf,reports/2021/zoox_090221-pdf.pdf
"Waymo September 16, 2021 (PDF)",Waymo,2021-09-16,2021,https://www.dmv.ca.gov/portal/file/waymo_091621-pdf/,waymo_091621-pdf,reports/2021/waymo_091621-pdf.pdf
"Waymo September 17, 2021 (1) (PDF)",Waymo,2021-09-17,2021,https://www.dmv.ca.gov/portal/file/waymo_091721_1-pdf/,waymo_091721_1-pdf,reports/2021/waymo_091721_1-pdf.pdf
"Waymo September 17, 2021 (2) (PDF)",Waymo,2021-09-17,2021,https://www.dmv.ca.gov/portal/file/waymo_091721_2-pdf/,waymo_091721_2-pdf,reports/2021/waymo_091721_2-pdf.pdf
"Zoox September 21, 2021 (PDF)",Zoox,2021-09-21,2021,https://www.dmv.ca.gov/portal/file/zoox_092121-pdf/,zoox_092121-pdf,reports/2021/zoox_092121-pdf.pdf
"Waymo September 22, 2021 (PDF)",Waymo,2021-09-22,2021,https://www.dmv.ca.gov/portal/file/waymo_092221-pdf/,waymo_092221-pdf,reports/2021/waymo_092221-pdf.pdf
"Cruise September 25, 2021 (PDF)",Cruise,2021-09-25,2021,https://www.dmv.ca.gov/portal/file/cruise_092521-pdf/,cruise_092521-pdf,reports/2021/cruise_092521-pdf.pdf
"Apple September 27, 2021 (PDF)",Apple,2021-09-27,2021,https://www.dmv.ca.gov/portal/file/apple_09272021-pdf/,apple_09272021-pdf,reports/2021/apple_09272021-pdf.pdf
"Waymo October 1, 2021 (PDF)",Waymo,2021-10-01,2021,https://www.dmv.ca.gov/portal/file/waymo_100121-pdf,waymo_100121-pdf,reports/2021/waymo_100121-pdf.pdf
"Cruise October 2, 2021 (PDF)",Cruise,2021-10-02,2021,https://www.dmv.ca.gov/portal/file/cruise_100221-pdf,cruise_100221-pdf,reports/2021/cruise_100221-pdf.pdf
"Waymo October 7, 2021",Waymo,2021-10-07,2021,https://www.dmv.ca.gov/portal/file/waymo_10072_redacted/,waymo_10072_redacted,reports/2021/waymo_10072_redacted.pdf
"Waymo October 8, 2021 (1)",Waymo,2021-10-08,2021,https://www.dmv.ca.gov/portal/file/waymo_100821_redacted_01/,waymo_100821_redacted_01,reports/2021/waymo_100821_redacted_01.pdf
"Waymo October 8, 2021 (2)",Waymo,2021-10-08,2021,https://www.dmv.ca.gov/portal/file/waymo_100821_redacted_02/,waymo_100821_redacted_02,reports/2021/waymo_100821_redacted_02.pdf
"Waymo October 18, 2021 (PDF)",Waymo,2021-10-18,2021,https://www.dmv.ca.gov/portal/file/waymo_101821-pdf/,waymo_101821-pdf,reports/2021/waymo_101821-pdf.pdf
"Argo AI October 19, 2021 (PDF)",Argo AI,2021-10-19,2021,https://www.dmv.ca.gov/portal/file/argo_101921-pdf/,argo_101921-pdf,reports/2021/argo_101921-pdf.pdf
"Waymo October 19, 2021 (PDF)",Waymo,2021-10-19,2021,https://www.dmv.ca.gov/portal/file/waymo_101921-pdf/,waymo_101921-pdf,reports/2021/waymo_101921-pdf.pdf
"Waymo October 21, 2021 (PDF)",Waymo,2021-10-21,2021,https://www.dmv.ca.gov/portal/file/waymo_102121-pdf/,waymo_102121-pdf,reports/2021/waymo_102121-pdf.pdf
"Zoox October 21, 2021 (PDF)",Zoox,2021-10-21,2021,https://www.dmv.ca.gov/portal/file/zoox_102121-pdf/,zoox_102121-pdf,reports/2021/zoox_102121-pdf.pdf
"Waymo October 27, 2021 (PDF)",Waymo,2021-10-27,2021,https://www.dmv.ca.gov/portal/file/waymo_102721-pdf/,waymo_102721-pdf,reports/2021/waymo_102721-pdf.pdf
"Pony.ai October 28, 2021 (PDF)",Pony.ai,2021-10-28,2021,https://www.dmv.ca.gov/portal/file/pony-ai_102821-pdf/,pony-ai_102821-pdf,reports/2021/pony-ai_102821-pdf.pdf
"Waymo October 28, 2021 (PDF)",Waymo,2021-10-28,2021,https://www.dmv.ca.gov/portal/file/waymo_102821-pdf/,waymo_102821-pdf,reports/2021/waymo_102821-pdf.pdf
"WeRide Corp November 3, 2021 (PDF)",WeRide Corp,2021-11-03,2021,https://www.dmv.ca.gov/portal/file/weride_110321-pdf/,weride_110321-pdf,reports/2021/weride_110321-pdf.pdf
"Zoox November 3, 2021 (PDF)",Zoox,2021-11-03,2021,https://www.dmv.ca.gov/portal/file/zoox_110321-pdf/,zoox_110321-pdf,reports/2021/zoox_110321-pdf.pdf
"Waymo November 4, 2021 (PDF)",Waymo,2021-11-04,2021,https://www.dmv.ca.gov/portal/file/waymo_110421-pdf/,waymo_110421-pdf,reports/2021/waymo_110421-pdf.pdf
"Waymo November 6, 2021 (1) (PDF)",Waymo,2021-11-06,2021,https://www.dmv.ca.gov/portal/file/waymo_110621_1-pdf/,waymo_110621_1-pdf,reports/2021/waymo_110621_1-pdf.pdf
"Waymo November 6, 2021 (2) (PDF)",Waymo,2021-11-06,2021,https://www.dmv.ca.gov/portal/file/waymo_110621_2-pdf/,waymo_110621_2-pdf,reports/2021/waymo_110621_2-pdf.pdf
"Apple November 11, 2021 (PDF)",Apple,2021-11-11,2021,https://www.dmv.ca.gov/portal/file/apple_111121-pdf/,apple_111121-pdf,reports/2021/apple_111121-pdf.pdf
"Waymo November 12, 2021 (PDF)",Waymo,2021-11-12,2021,https://www.dmv.ca.gov/portal/file/waymo_111221-pdf/,waymo_111221-pdf,reports/2021/waymo_111221-pdf.pdf
"Cruise November 13, 2021 (PDF)",Cruise,2021-11-13,2021,https://www.dmv.ca.gov/portal/file/cruise_111321-pdf/,cruise_111321-pdf,reports/2021/cruise_111321-pdf.pdf
"Cruise November 14, 2021 (PDF)",Cruise,2021-11-14,2021,https://www.dmv.ca.gov/portal/file/cruise_111421-pdf/,cruise_111421-pdf,reports/2021/cruise_111421-pdf.pdf
"Cruise November 15, 2021 (PDF)",Cruise,2021-11-15,2021,https://www.dmv.ca.gov/portal/file/cruise_111521-pdf/,cruise_111521-pdf,reports/2021/cruise_111521-pdf.pdf
"Waymo November 15, 2021 (PDF)",Waymo,2021-11-15,2021,https://www.dmv.ca.gov/portal/file/waymo_111521-pdf/,waymo_111521-pdf,reports/2021/waymo_111521-pdf.pdf
"Waymo November 20, 2021 (PDF)",Waymo,2021-11-20,2021,https://www.dmv.ca.gov/portal/file/waymo_112021-pdf/,waymo_112021-pdf,reports/2021/waymo_112021-pdf.pdf
"Cruise November 21, 2021 (PDF)",Cruise,2021-11-21,2021,https://www.dmv.ca.gov/portal/file/cruise_112121-pdf/,cruise_112121-pdf,reports/2021/cruise_112121-pdf.pdf
"Waymo November 25, 2021 (PDF)",Waymo,2021-11-25,2021,https://www.dmv.ca.gov/portal/file/waymo_112521-pdf/,waymo_112521-pdf,reports/2021/waymo_112521-pdf.pdf
"Waymo November 26, 2021 (PDF)",Waymo,2021-11-26,2021,https://www.dmv.ca.gov/portal/file/waymo_112621-pdf/,waymo_112621-pdf,reports/2021/waymo_112621-pdf.pdf
"Waymo November 28, 2021 (PDF)",Waymo,2021-11-28,2021,https://www.dmv.ca.gov/portal/file/waymo_112821-pdf/,waymo_112821-pdf,reports/2021/waymo_112821-pdf.pdf
"Waymo November 30, 2021 (PDF)",Waymo,2021-11-30,2021,https://www.dmv.ca.gov/portal/file/waymo_113021-pdf/,waymo_113021-pdf,reports/2021/waymo_113021-pdf.pdf
"Cruise December 1, 2021 (1) (PDF)",Cruise,2021-12-01,2021,https://www.dmv.ca.gov/portal/file/cruise_12012021-pdf/,cruise_12012021-pdf,reports/2021/cruise_12012021-pdf.pdf
"Cruise December 1, 2021 (2) (PDF)",Cruise,2021-12-01,2021,https://www.dmv.ca.gov/portal/file/cruise_12012021_02-pdf/,cruise_12012021_02-pdf,reports/2021/cruise_12012021_02-pdf.pdf
"Waymo December 3, 2021 (PDF)",Waymo,2021-12-03,2021,https://www.dmv.ca.gov/portal/file/waymo_120321-pdf/,waymo_120321-pdf,reports/2021/waymo_120321-pdf.pdf
"Waymo December 4, 2021 (PDF)",Waymo,2021-12-04,2021,https://www.dmv.ca.gov/portal/file/waymo_120421-pdf/,waymo_120421-pdf,reports/2021/waymo_120421-pdf.pdf
"Apple December 6, 2021 (PDF)",Apple,2021-12-06,2021,https://www.dmv.ca.gov/portal/file/apple_120621-pdf/,apple_120621-pdf,reports/2021/apple_120621-pdf.pdf
