title,manufacturer,report_date,year_folder,page_url,slug,local_path
"GM Cruise June 26, 2019 (PDF)",GM Cruise,2019-06-26,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-june-26-2019-pdf/,gm-cruise-collision-report-june-26-2019-pdf,reports/2019/gm-cruise-collision-report-june-26-2019-pdf.pdf
"Pony.ai June 26, 2019 (PDF)",Pony.ai,2019-06-26,2019,https://www.dmv.ca.gov/portal/file/pony-ai-collision-report-june-26-2019-pdf/,pony-ai-collision-report-june-26-2019-pdf,reports/2019/pony-ai-collision-report-june-26-2019-pdf.pdf
"GM Cruise June 27, 2019 (PDF)",GM Cruise,2019-06-27,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-june-27-2019-pdf/,gm-cruise-collision-report-june-27-2019-pdf,reports/2019/gm-cruise-collision-report-june-27-2019-pdf.pdf
"GM Cruise June 29, 2019 (PDF)",GM Cruise,2019-06-29,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-june-29-2019-pdf/,gm-cruise-collision-report-june-29-2019-pdf,reports/2019/gm-cruise-collision-report-june-29-2019-pdf.pdf
"GM Cruise July 1, 2019 (PDF)",GM Cruise,2019-07-01,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-2019-pdf/,gm-cruise-collision-report-july-2019-pdf,reports/2019/gm-cruise-collision-report-july-2019-pdf.pdf
"GM Cruise July 2, 2019 (PDF)",GM Cruise,2019-07-02,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-2-2019-pdf/,gm-cruise-collision-report-july-2-2019-pdf,reports/2019/gm-cruise-collision-report-july-2-2019-pdf.pdf
"Waymo July 8, 2019 (PDF)",Waymo,2019-07-08,2019,https://www.dmv.ca.gov/portal/file/waymo-collision-report-july-8-2019-pdf/,waymo-collision-report-july-8-2019-pdf,reports/2019/waymo-collision-report-july-8-2019-pdf.pdf
"GM Cruise July 10, 2019 (PDF)",GM Cruise,2019-07-10,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-10-2019-pdf/,gm-cruise-collision-report-july-10-2019-pdf,reports/2019/gm-cruise-collision-report-july-10-2019-pdf.pdf
"Pony.aI July 12, 2019 (PDF)",Pony.aI,2019-07-12,2019,https://www.dmv.ca.gov/portal/file/pony-ai-collision-report-july-12-2019-pdf/,pony-ai-collision-report-july-12-2019-pdf,reports/2019/pony-ai-collision-report-july-12-2019-pdf.pdf
"GM Cruise July 15, 2019 (PDF)",GM Cruise,2019-07-15,2019,https://www.dmv.ca.gov/portal/file/gm-cruise-collision-report-july-15-2019-pdf/,gm-cruise-collision-report-july-15-2019-pdf,reports/2019/gm-cruise-collision-report-july-15-2019-pdf.pdf
