case_group,report_id,report_title,manufacturer_std,mode_resolved,injury_text_signal,pred_prob,expected_value,rank,feature,feature_value,shap_value,narrative_excerpt
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,3,mech_signal_wait,1.0,0.5303486507225605,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,4,is_night,1.0,-0.46571608537730974,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,5,manu_Cruise,0.0,-0.4293477318655051,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,6,narrative_mentions_stopped,1.0,0.23677595501999085,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,7,location_is_intersection_like,1.0,-0.1468898645578716,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
av_rear_stopped_no_injury,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,0.3521689036186358,-0.48553862845503953,8,mech_yielding,1.0,-0.13202535705490723,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,1,manu_Zoox,1.0,0.680194830728849,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,2,manu_Cruise,0.0,-0.3908350321446571,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,3,mech_stop_in_lane,1.0,0.300750202447537,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,4,mech_brake_or_stop_transition,1.0,0.283784184783242,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,5,narrative_mentions_stopped,1.0,0.26513276019161464,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,6,mech_signal_wait,0.0,-0.2555490514040267,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,7,narrative_mentions_red_light,0.0,0.1079467871023362,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
conv_rear_stopped_injury,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,0.6145750283069469,-0.48553862845503953,8,location_is_intersection_like,1.0,-0.10021083659501274,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,1,manu_Cruise,1.0,0.8933508108554968,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,2,location_is_intersection_like,1.0,-0.5478876579176714,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,3,narrative_mentions_entered_lane,1.0,-0.4470865859704684,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,4,narrative_mentions_stopped,0.0,-0.2841886622833216,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,5,manu_Zoox,0.0,-0.23216593193968757,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,6,mech_stop_context_expanded,0.0,-0.17688056194820967,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,7,is_night,1.0,0.15502449094179244,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
av_rear_nonstopped_no_injury,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,0.26298163923970563,-0.48553862845503953,8,vru_any,0.0,-0.11569595957832857,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called."
