variant,feature_left,feature_right,left_value,right_value,count,injury_rate,mean_pred_prob,mean_interaction_shap,mean_abs_interaction_shap
scene_only,collision_type__rear_end,mode_binary_autonomous,0,0,83,0.3253012048192771,0.45253523640501186,0.10546594693987407,0.10546594693987407
scene_only,collision_type__rear_end,mode_binary_autonomous,0,1,85,0.2823529411764706,0.4356310937400479,-0.07803886200845693,0.07803886200845693
scene_only,collision_type__rear_end,mode_binary_autonomous,1,0,55,0.2545454545454545,0.4244846833270057,-0.10842172753482479,0.10842172753482479
scene_only,collision_type__rear_end,mode_binary_autonomous,1,1,117,0.37606837606837606,0.510875249098173,0.07718757387665026,0.07718757387665026
scene_only,collision_type__rear_end,narrative_mentions_stopped,0,0,124,0.3064516129032258,0.44663121293892,0.05455812180346248,0.05455812180346248
scene_only,collision_type__rear_end,narrative_mentions_stopped,0,1,44,0.29545454545454547,0.4365181178430451,-0.09445311258290436,0.09445311258290436
scene_only,collision_type__rear_end,narrative_mentions_stopped,1,0,96,0.2604166666666667,0.40385161147853754,-0.03616448599522739,0.03616448599522739
scene_only,collision_type__rear_end,narrative_mentions_stopped,1,1,76,0.4342105263157895,0.5835435134938414,0.05823008240063778,0.05823008240063778
scene_plus_mechanism,collision_type__rear_end,mode_binary_autonomous,0,0,83,0.3253012048192771,0.4649586833232776,0.12707663851726736,0.12707663851726736
scene_plus_mechanism,collision_type__rear_end,mode_binary_autonomous,0,1,85,0.2823529411764706,0.4187118654654876,-0.07510775487572957,0.07510775487572957
scene_plus_mechanism,collision_type__rear_end,mode_binary_autonomous,1,0,55,0.2545454545454545,0.3910294780397923,-0.11474853941547637,0.11474853941547637
scene_plus_mechanism,collision_type__rear_end,mode_binary_autonomous,1,1,117,0.37606837606837606,0.5024928372353022,0.07584411595245108,0.07584411595245108
scene_plus_mechanism,collision_type__rear_end,narrative_mentions_stopped,0,0,124,0.3064516129032258,0.44184042332220064,0.03230250140302181,0.03230250140302181
scene_plus_mechanism,collision_type__rear_end,narrative_mentions_stopped,0,1,44,0.29545454545454547,0.4407696997374002,-0.0586483399146407,0.0586483399146407
scene_plus_mechanism,collision_type__rear_end,narrative_mentions_stopped,1,0,96,0.2604166666666667,0.3914166238819357,-0.02070185235332121,0.02070185235332121
scene_plus_mechanism,collision_type__rear_end,narrative_mentions_stopped,1,1,76,0.4342105263157895,0.5621353599480671,0.03907431720830166,0.03907431720830166
scene_plus_mechanism,collision_type__rear_end,mech_stop_context_expanded,0,0,91,0.2967032967032967,0.4390758511700501,0.05654995954441293,0.05654995954441293
scene_plus_mechanism,collision_type__rear_end,mech_stop_context_expanded,0,1,77,0.3116883116883117,0.44449580290810287,-0.02946927975458949,0.02946927975458949
scene_plus_mechanism,collision_type__rear_end,mech_stop_context_expanded,1,0,52,0.21153846153846154,0.3384494768567002,-0.04784007847954796,0.04784007847954796
scene_plus_mechanism,collision_type__rear_end,mech_stop_context_expanded,1,1,120,0.39166666666666666,0.5224909204347544,0.03085316755118787,0.03085316755118787
scene_plus_mechanism,collision_type__rear_end,mech_signal_wait,0,0,126,0.30158730158730157,0.44781889587121054,0.00241401499363332,0.00283143343549293
scene_plus_mechanism,collision_type__rear_end,mech_signal_wait,0,1,42,0.30952380952380953,0.42278329525299907,-0.006155295340911862,0.007273792974802096
scene_plus_mechanism,collision_type__rear_end,mech_signal_wait,1,0,110,0.3,0.43170818544578576,-0.0016962528776378878,0.0019758224065997243
scene_plus_mechanism,collision_type__rear_end,mech_signal_wait,1,1,62,0.4032258064516129,0.5291997233819757,0.00654136915830064,0.006672151748433562
scene_plus_mechanism,collision_type__rear_end,mech_yielding,0,0,154,0.3116883116883117,0.4488366024010134,-0.0037254281823832732,0.0037254281823832732
