original_index,report_id,report_title,manufacturer_std,mode_resolved,injury_text_signal,rear_end,mech_stop_context_expanded,narrative_mentions_injury,narrative_mentions_no_injury,narrative_text,row_position,pred_prob,clean_negative_text,clean_positive_text,distance_to_group_median,case_group
85,waymo-collision-report-october-28-2019-1-pdf,"Waymo October 28, 2019 (1) (PDF)",Waymo,autonomous,1,1,1,1,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 11 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. The Waymo AV test driver and Waymo passenger in the vehicle both reported neck pain, but declined medical treatment at the scene. No other injuries were reported.",76,0.6202310964931298,0,1,0.05252781603219059,av_rear_stopped_injury
331,zoox_042822-pdf,"Zoox April 28, 2022 (PDF)",Zoox,autonomous,0,1,1,0,1,"A Zoox vehicle in autonomous mode came to a complete stop at the T-junction stop sign at Colin P. Kelly Jr. St. and Brannan St. and yielded to oncoming traffic from the left. Due to traffic flow, the driver then disengaged autonomous mode and reversed, making contact with a vehicle that had approached from the rear and was attempting to pass the Zoox vehicle to make a right turn. There were no injuries and the police were not called.",214,0.3521689036186358,1,0,0.0,av_rear_stopped_no_injury
488,zoox_06182023-pdf,"Zoox June 18, 2023 (PDF)",Zoox,conventional,1,1,1,1,0,"A Zoox vehicle in manual mode was stopped in stop-and-go traffic southbound on Montgomery St. at the intersection of Pine St. when it was struck from behind by vehicle 2.  Police were not called, and Zoox operators later reported injuries.",272,0.6145750283069469,0,1,0.00033822787405268784,conv_rear_stopped_injury
64,gm-cruise-collision-report-august-22-2019-pdf,"GM Cruise August 22, 2019 (PDF)",Cruise,autonomous,0,1,0,0,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on Geary Boulevard between 32nd and 33rd Avenues when another vehicle, traveling in the right adjacent lane, changed into the same lane as the Cruise AV and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and bumper. There were no injuries and police were not called.",58,0.26298163923970563,1,0,0.025092064164609518,av_rear_nonstopped_no_injury
