variant,feature,feature_value,count,injury_rate,mean_pred_prob,mean_shap,median_shap,mean_abs_shap
scene_only,collision_type__rear_end,0,168,0.30357142857142855,0.4439825451757146,-0.11545126817472535,-0.12870997904884063,0.16643172410536358
scene_only,collision_type__rear_end,1,172,0.3372093023255814,0.48325035888064855,0.06257150282728015,0.07746365888018783,0.14279299686069305
scene_only,mode_binary_autonomous,0,138,0.2971014492753623,0.44135566814928473,-0.034691273700227815,-0.033029406081504606,0.09977786525608802
scene_only,mode_binary_autonomous,1,202,0.33663366336633666,0.4792131045167837,0.03804617127682339,0.07771753203606956,0.09159102969752388
scene_only,narrative_mentions_stopped,0,220,0.2863636363636364,0.4279637504834804,-0.172891506865236,-0.1920627974158779,0.18589027284005175
scene_only,narrative_mentions_stopped,1,120,0.38333333333333336,0.529634201755216,0.3027342376045535,0.3806041196363728,0.33785144925628274
scene_plus_mechanism,collision_type__rear_end,0,168,0.30357142857142855,0.44155999571665766,-0.09651618839052994,-0.11185461996007587,0.19410811559900062
scene_plus_mechanism,collision_type__rear_end,1,172,0.3372093023255814,0.4668504840041799,0.1398863511100597,0.16190790581656114,0.18019970622287876
scene_plus_mechanism,mode_binary_autonomous,0,138,0.2971014492753623,0.43549414498565675,-0.08973851046543983,-0.060363871040043655,0.12565409829449609
scene_plus_mechanism,mode_binary_autonomous,1,202,0.33663366336633666,0.4672384679262218,0.04965923446026404,0.06555036753445218,0.09242881951910417
scene_plus_mechanism,narrative_mentions_stopped,0,220,0.2863636363636364,0.419837310839176,-0.04496613316624279,-0.058894528304171884,0.08552398656366164
scene_plus_mechanism,narrative_mentions_stopped,1,120,0.38333333333333336,0.5176346178708227,0.12393664518030008,0.16389755321039817,0.17548022698686785
scene_plus_mechanism,mech_stop_context_expanded,0,143,0.26573426573426573,0.40248444232883196,-0.14838048594154082,-0.13519490116657057,0.14838048594154082
scene_plus_mechanism,mech_stop_context_expanded,1,197,0.3604060913705584,0.49200551916799223,0.11509292303735626,0.10522030289356317,0.11509292303735626
scene_plus_mechanism,mech_signal_wait,0,236,0.3008474576271186,0.4403096664356312,-0.08273928594695404,-0.08672628590262602,0.09222472370668275
scene_plus_mechanism,mech_signal_wait,1,104,0.36538461538461536,0.48622385817604297,0.2067833823391407,0.21516882666817655,0.2219236796280315
scene_plus_mechanism,mech_yielding,0,286,0.32517482517482516,0.4589184588696015,0.07109869365512873,0.0788824805629938,0.07384130120523288
scene_plus_mechanism,mech_yielding,1,54,0.2962962962962963,0.43017932022984096,-0.42254013933386453,-0.34699132222519913,0.42254013933386453
scene_plus_mechanism,mech_braking,0,287,0.3240418118466899,0.46235361883539605,0.037573028732933375,0.032747636167742435,0.041438416221341
