stopped_value,term,coef,se,z,p_value,nobs,positives
0,rear_end_c,-0.22715410427360483,0.3698840422306384,-0.6141224771518112,0.5391343961564294,220,63
0,mode_autonomous_c,0.5197837570833745,0.3733846933002556,1.3920864095663203,0.16389623315776858,220,63
0,rear_mode_int,1.0185836332314389,0.7872322951756981,1.2938793790263732,0.19570708832534378,220,63
1,rear_end_c,0.8007631970412268,0.4513360422699422,1.774206183521,0.07602905177608278,120,46
1,mode_autonomous_c,0.06320947216929748,0.4063904636995832,0.15553876829162985,0.8763965931392914,120,46
1,rear_mode_int,2.075226344596561,0.9047027407906628,2.2938212199765435,0.02180077002268876,120,46
