replication,rear_mode_int
0,0.4003798842860749
1,1.9364665994031838
2,-0.009712584265258672
3,0.32083671519912255
4,1.4668146126890358
5,1.7565732505234724
6,1.7282683708176358
7,0.6560418034549682
8,0.9596673040964335
9,1.515896215761524
10,0.3390074787143017
11,1.6463840413154995
12,0.4823050119115667
13,0.755112887680719
14,0.1396380687348001
15,1.287636738310451
16,0.9993579708466087
17,0.8310390934032872
18,0.3795682532681729
19,0.8643243339107421
20,1.19693835837588
21,1.3103834802042478
22,1.8101723923322215
23,2.180545528361888
24,1.210619524035479
25,1.6291418648622231
26,2.6416972579291755
27,0.6902638442781907
28,2.2930185825512495
29,1.672458127979183
30,0.6866089850980159
31,1.905436579355663
32,1.7804642871174827
33,0.23662811516360371
34,1.8729892942188067
35,1.1551946393241714
36,0.7616976150268377
37,0.6641266639574741
38,1.4434924228390957
39,0.7029582904842436
40,1.3755554548491602
41,0.5302990802447421
42,0.8810011542413307
43,0.8314945558805416
44,0.9661021191902314
45,0.6717285475510847
46,1.4013698062753865
47,0.5853773828891375
48,1.3594615624351065
49,1.589269856471409
50,2.335592573945637
51,1.7471751028049614
52,-0.08994486290766902
53,0.7672033804622344
54,1.440386858127368
55,1.0202583762725255
56,1.0470579367018316
57,0.6027740407352056
58,1.6791748283568504
59,1.9271313871593034
60,1.8700304274111845
61,1.4162892246767762
62,1.1848381307329692
63,1.645555188816498
64,2.2102357588204278
65,0.9023065895676865
66,1.2330150377898232
67,0.9774040713725832
68,0.9709036704591214
69,1.2691123851919675
70,0.59861742366466
71,2.3577034420853393
72,1.9375989153799824
73,1.3220452282773762
74,0.4158141970106531
75,1.4073912314487615
76,0.7771802257511848
77,0.7378978717312018
78,0.09670302685673515
79,0.5939098235207992
80,-0.002713027411633831
81,1.6931697959924203
82,1.0837230121212333
83,1.5848991332762847
84,0.6393718884795019
85,0.9260695524498379
86,1.9571391761010823
87,0.5243854297431195
88,2.022123872518101
89,0.8618260195247943
90,1.9579889695972479
91,1.113735898416735
92,0.7381693002962239
93,1.7797229067308393
94,1.8011335892402136
95,0.9578511516823293
96,0.5873634824893779
97,1.503987174050291
98,1.6288490541413365
99,1.0673832123888067
100,1.4332802630948716
101,1.3117543362065516
102,0.017596720613847233
103,1.2039602525767672
104,0.48739793214371097
105,2.5669516025972894
106,2.230450185128938
107,1.0285042467516763
108,1.5845358530678166
109,2.2646931620679496
110,1.6705415158850756
111,1.3660340968377163
112,0.9036744565851353
113,1.312582786104913
114,1.236646547022025
115,1.2576112860114699
116,1.103846721571879
117,1.771341498553924
118,1.2692782713366273
119,3.6512048230884107
120,0.8681115189377666
121,1.947854549797062
122,2.2532074774832584
123,0.35122889535525226
124,1.5857679709292116
125,0.6337778924280068
126,0.7872144869285569
127,1.2505569439157376
128,1.9787829862648794
129,1.946993716201948
130,1.4592513198938106
131,0.7467484805479763
132,1.3920293970456736
133,1.8612341241606405
134,1.142632573368023
135,0.555595822698538
136,0.8318591191176065
137,1.4197704652139302
138,1.2198066805380188
139,0.9287215825189507
140,1.0684252085638337
141,1.3947623570908014
142,0.6324192143015722
143,0.9527357587022223
144,1.9594801226465988
145,1.1671689003854115
146,0.6113021200265425
147,0.48942360670773677
148,1.4098871707289191
149,1.9945906329404508
