dropped_manufacturer,nobs,positives,rear_mode_int_coef,rear_mode_int_se,rear_mode_int_z,rear_mode_int_p,stopped_coef,stopped_p
Cruise,187,52,0.8765827241966271,0.6994688598710914,1.2532119362085352,0.21012858715629135,0.7019807110690572,0.04832369372461328
Zoox,252,70,1.7362292341076295,0.7202365370661021,2.410637540245034,0.015924665650629687,0.6564467408435382,0.04301884580351503
Waymo,284,98,1.1416330341441565,0.5591231646302288,2.0418274655087227,0.04116864880691826,0.5615673606802818,0.0490538617436773
Apple,325,109,1.1091476865336727,0.5266606086220323,2.106000844520485,0.035204278990432616,0.5881546868519187,0.022440752388068627
Pony.ai,328,109,1.1772068396341515,0.5286098274406025,2.226986292203258,0.025948189940290137,0.5652280933538586,0.02923755862538253
"Lyft, Inc.",335,109,1.0262317642156222,0.5246450492998163,1.9560496483960277,0.05045930576206685,0.5366897474665687,0.03627240704011754
